Organisation_Code,Specialty,Number_Of_Beds,Effective_Snapshot_Date
RDY,340,0,30/09/2019
RYG,326,0,30/09/2019
RT3,330,0,30/09/2019
RQ8,330,0,30/09/2019
RJR,340,0.032609,30/09/2019
RV9,321,0,30/09/2019
RAP,326,0,30/09/2019
RP7,325,0,30/09/2019
RDZ,340,0.228261,30/09/2019
RYK,326,0,30/09/2019
RV3,330,0,30/09/2019
RQW,330,0,30/09/2019
RM3,340,0,30/09/2019
RVW,321,0,30/09/2019
RAS,326,0,30/09/2019
RQ3,325,0,30/09/2019
REF,340,0.043478,30/09/2019
RYW,326,0,30/09/2019
RVR,330,0.021739,30/09/2019
RT1,330,0,30/09/2019
RMC,340,0,30/09/2019
RWA,321,0,30/09/2019
RAT,326,0,30/09/2019
RRE,325,0,30/09/2019
RH5,340,0,30/09/2019
TAJ,326,0,30/09/2019
RWK,330,0,30/09/2019
RWG,330,0,30/09/2019
RMP,340,0,30/09/2019
RWY,321,0,30/09/2019
RAX,326,0,30/09/2019
RRJ,325,0,30/09/2019
RH8,340,1.119565,30/09/2019
R1L,326,0,30/09/2019
RYJ,330,0.217391,30/09/2019
RWH,330,0,30/09/2019
RQ6,340,4.869565,30/09/2019
RX3,321,0,30/09/2019
RF4,326,0.01087,30/09/2019
RRK,325,0,30/09/2019
RJ8,340,0,30/09/2019
RAJ,326,0,30/09/2019
RYX,330,0,30/09/2019
RWR,330,0,30/09/2019
RRF,340,1.576087,30/09/2019
RX4,321,0,30/09/2019
RJ1,326,0,30/09/2019
RTG,325,0,30/09/2019
RK9,340,0.065217,30/09/2019
RC1,326,0,30/09/2019
TAF,330,0,30/09/2019
RY3,330,0,30/09/2019
RT2,340,0,30/09/2019
RXE,321,0,30/09/2019
RJ2,326,0,30/09/2019
RWD,325,0,30/09/2019
RN3,340,1.608696,30/09/2019
RC9,326,0,30/09/2019
R1J,330,0,30/09/2019
R0A,330,0,30/09/2019
RTV,340,0,30/09/2019
RXF,321,0,30/09/2019
RJ6,326,0,30/09/2019
RWE,325,0,30/09/2019
RNZ,340,0.043478,30/09/2019
RCX,326,0,30/09/2019
RA3,330,0,30/09/2019
RBL,330,0,30/09/2019
RTX,340,0,30/09/2019
RXG,321,0,30/09/2019
RJ7,326,0,30/09/2019
RWP,325,0,30/09/2019
RTE,340,0.902174,30/09/2019
RD8,326,0,30/09/2019
RA4,330,1.021739,30/09/2019
RBN,330,0,30/09/2019
RVY,340,0,30/09/2019
RXP,321,0,30/09/2019
RJZ,326,0,30/09/2019
RX1,325,0,30/09/2019
RTQ,340,0,30/09/2019
RDD,326,0,30/09/2019
RA7,330,4.23913,30/09/2019
RBQ,330,0,30/09/2019
RW4,340,0,30/09/2019
RY6,321,0,30/09/2019
RKE,326,0,30/09/2019
RXK,325,0,30/09/2019
RVJ,340,0.184783,30/09/2019
RDE,326,0,30/09/2019
RA9,330,0.032609,30/09/2019
RBS,330,0.043478,30/09/2019
RW5,340,0,30/09/2019
TAD,321,0,30/09/2019
RKL,326,0,30/09/2019
RXM,325,0,30/09/2019
RVN,340,0,30/09/2019
RGM,326,0,30/09/2019
RBA,330,0,30/09/2019
RBT,330,0,30/09/2019
RW6,340,0.847826,30/09/2019
TAH,321,0,30/09/2019
RP4,326,0,30/09/2019
RXT,325,0,30/09/2019
RWV,340,0,30/09/2019
RGN,326,0,30/09/2019
RBD,330,0,30/09/2019
RBV,330,0,30/09/2019
RWJ,340,0,30/09/2019
R1H,325,0,30/09/2019
RP6,326,0,30/09/2019
RXW,325,0,30/09/2019
R1C,340,0,30/09/2019
RGP,326,0,30/09/2019
RBZ,330,2.73913,30/09/2019
REM,330,1.586957,30/09/2019
RWW,340,0.706522,30/09/2019
R1K,325,0,30/09/2019
RPG,326,0,30/09/2019
RY5,325,0,30/09/2019
R1F,340,0.163043,30/09/2019
RGR,326,0,30/09/2019
RD1,330,0,30/09/2019
REN,330,0,30/09/2019
RXA,340,0,30/09/2019
RGN,410,0.086957,30/09/2019
RWP,401,0,30/09/2019
RKL,410,0,30/09/2019
RVY,370,0,30/09/2019
RHQ,371,0,30/09/2019
RTP,371,0,30/09/2019
RJE,400,1.271739,30/09/2019
RY6,400,0,30/09/2019
RGP,410,1.782609,30/09/2019
RX1,401,0,30/09/2019
RP4,410,7,30/09/2019
RW4,370,0,30/09/2019
RJL,371,0,30/09/2019
RVV,371,0,30/09/2019
RK5,400,0.032609,30/09/2019
TAD,400,0,30/09/2019
RGR,410,0,30/09/2019
RXK,401,0,30/09/2019
RP6,410,0,30/09/2019
RW5,370,0,30/09/2019
RNL,371,0,30/09/2019
RW1,371,0,30/09/2019
RKB,400,0.021739,30/09/2019
TAH,400,0,30/09/2019
RGT,410,5.836957,30/09/2019
RXM,401,0,30/09/2019
RPG,410,0,30/09/2019
RW6,370,0,30/09/2019
RNN,371,0,30/09/2019
RWF,371,0,30/09/2019
RL1,400,0,30/09/2019
R1H,401,0.26087,30/09/2019
RM1,410,4.75,30/09/2019
RXT,401,0,30/09/2019
RPY,410,0,30/09/2019
RWJ,370,0,30/09/2019
RP5,371,0,30/09/2019
RWX,371,0,30/09/2019
RL4,400,0.304348,30/09/2019
R1K,401,0,30/09/2019
RMY,410,0,30/09/2019
RXW,401,0,30/09/2019
RQM,410,1.445652,30/09/2019
RWW,370,0,30/09/2019
RR7,371,0,30/09/2019
RX2,371,0,30/09/2019
RLQ,400,0,30/09/2019
RAL,401,0,30/09/2019
RQ8,410,0,30/09/2019
RY5,401,0,30/09/2019
RQX,410,0.119565,30/09/2019
RXA,370,0,30/09/2019
RR8,371,0,30/09/2019
RXC,371,0,30/09/2019
RLT,400,0,30/09/2019
RAN,401,0,30/09/2019
RQW,410,0,30/09/2019
RY8,401,0,30/09/2019
RQY,410,0,30/09/2019
RXL,370,6.945652,30/09/2019
RTD,371,0,30/09/2019
RXH,371,0,30/09/2019
RLY,400,0,30/09/2019
RAP,401,0,30/09/2019
RT1,410,0,30/09/2019
RYG,401,0,30/09/2019
RRP,410,0,30/09/2019
RXN,370,0.01087,30/09/2019
RTF,371,0,30/09/2019
RDE,900,0,30/09/2019
R1J,145,0,30/09/2019
RA4,901,0,30/09/2019
R1F,146,0,30/09/2019
RBS,145,0,30/09/2019
RBS,901,0,30/09/2019
RVJ,361,0.358696,30/09/2019
RW5,146,0,30/09/2019
RGM,900,0,30/09/2019
RA3,145,0,30/09/2019
RA7,901,0,30/09/2019
RA2,146,0,30/09/2019
RBT,145,0,30/09/2019
RBT,901,0,30/09/2019
RVN,361,0,30/09/2019
RW6,146,0,30/09/2019
RGN,900,0,30/09/2019
RA4,145,0,30/09/2019
RA9,901,0,30/09/2019
RDR,146,0,30/09/2019
RBV,145,0,30/09/2019
RBV,901,0,30/09/2019
RWV,361,0,30/09/2019
RWJ,146,0,30/09/2019
RGP,900,0,30/09/2019
