Organisation_Code,Specialty,Number_Of_Beds,Effective_Snapshot_Date
R1F,410,0,30/06/2013
RBD,410,1.076923,30/06/2013
RD3,410,4.406593,30/06/2013
RDY,410,0,30/06/2013
RDZ,410,2.802198,30/06/2013
RHM,410,2.241758,30/06/2013
RHU,410,2.725275,30/06/2013
RN5,410,3.175824,30/06/2013
RW1,410,0,30/06/2013
R1H,410,3.142857,30/06/2013
RAL,410,0.164835,30/06/2013
RAN,410,0,30/06/2013
RAP,410,0,30/06/2013
RAS,410,0.582418,30/06/2013
RAT,410,0,30/06/2013
RAX,410,0,30/06/2013
RC3,410,0,30/06/2013
RF4,410,1.131868,30/06/2013
RFW,410,0.131868,30/06/2013
RJ1,410,1.648352,30/06/2013
RJ2,410,0.21978,30/06/2013
RJ6,410,0,30/06/2013
RJ7,410,0,30/06/2013
RJZ,410,1.241758,30/06/2013
RKE,410,0.32967,30/06/2013
RKL,410,0,30/06/2013
RP4,410,0.823571,30/06/2013
RP6,410,0,30/06/2013
RPY,410,0,30/06/2013
RQM,410,0.879121,30/06/2013
RQX,410,0,30/06/2013
RQY,410,0,30/06/2013
RRP,410,0,30/06/2013
RRV,410,0.604396,30/06/2013
RT3,410,0,30/06/2013
RV3,410,0,30/06/2013
RV5,410,0,30/06/2013
RV8,410,4.769231,30/06/2013
RVL,410,0.010989,30/06/2013
RVR,410,1.186813,30/06/2013
RWK,410,0,30/06/2013
RYJ,410,1.868132,30/06/2013
RYQ,410,3.340659,30/06/2013
RYX,410,0,30/06/2013
TAF,410,0,30/06/2013
RBL,420,0,30/06/2013
RBT,420,0,30/06/2013
REN,420,0,30/06/2013
RJN,420,0.230769,30/06/2013
RJR,420,0,30/06/2013
RTV,420,0,30/06/2013
RWW,420,4.769231,30/06/2013
RXA,420,0,30/06/2013
RTR,420,3.153846,30/06/2013
RVW,420,12.857143,30/06/2013
RX3,420,0,30/06/2013
RXP,420,0.362637,30/06/2013
RBV,420,0,30/06/2013
RM2,420,2.362637,30/06/2013
RM3,420,0,30/06/2013
RMC,420,0,30/06/2013
RMP,420,5.021978,30/06/2013
RRF,420,0.142857,30/06/2013
RT2,420,0,30/06/2013
RW3,420,4.78022,30/06/2013
RW6,420,12.791209,30/06/2013
RWJ,420,0.131868,30/06/2013
RXV,420,0,30/06/2013
TAE,420,0,30/06/2013
RJX,420,0,30/06/2013
RW5,420,0,30/06/2013
RXL,420,0,30/06/2013
RXN,420,0.483516,30/06/2013
RXR,420,1.428571,30/06/2013
RBN,420,0.021978,30/06/2013
RBQ,420,0,30/06/2013
RBS,420,4.054945,30/06/2013
REM,420,0,30/06/2013
REP,420,0,30/06/2013
RET,420,0,30/06/2013
RQ6,420,0,30/06/2013
RVY,420,0.461538,30/06/2013
RW4,420,0,30/06/2013
RE9,420,1.769231,30/06/2013
RLN,420,0,30/06/2013
RNL,420,0.186813,30/06/2013
RNN,420,0,30/06/2013
RR7,420,0.681319,30/06/2013
RTD,420,12.879121,30/06/2013
RTF,420,0.142857,30/06/2013
RTX,420,0.582418,30/06/2013
RX4,420,0,30/06/2013
RCB,420,3.857143,30/06/2013
RCD,420,0.307692,30/06/2013
RJL,420,1.021978,30/06/2013
RV9,420,0,30/06/2013
RWA,420,0.78022,30/06/2013
RCU,420,2.120879,30/06/2013
RFF,420,3.67033,30/06/2013
RFR,420,6.043956,30/06/2013
RHQ,420,0,30/06/2013
RP5,420,0,30/06/2013
RXE,420,0,30/06/2013
TAH,420,0,30/06/2013
RAE,420,0,30/06/2013
RCF,420,0,30/06/2013
RGD,420,0,30/06/2013
RR8,420,14.197802,30/06/2013
RWY,420,0.054945,30/06/2013
RXF,420,0.230769,30/06/2013
RXG,420,0,30/06/2013
RY6,420,0,30/06/2013
TAD,420,0,30/06/2013
R1A,420,0,30/06/2013
RJC,420,0,30/06/2013
RKB,420,1.285714,30/06/2013
RLQ,420,0,30/06/2013
RLT,420,0,30/06/2013
RWP,420,0,30/06/2013
RYG,420,0,30/06/2013
RBK,420,0,30/06/2013
RL4,420,0,30/06/2013
RLU,420,0,30/06/2013
RNA,420,0,30/06/2013
RQ3,420,1.659341,30/06/2013
RR1,420,0,30/06/2013
RRJ,420,0,30/06/2013
RRK,420,0,30/06/2013
RXK,420,0.516484,30/06/2013
RXT,420,0,30/06/2013
RYK,420,0,30/06/2013
RYW,420,0,30/06/2013
TAJ,420,0,30/06/2013
RFS,420,0,30/06/2013
RHA,420,0,30/06/2013
RK5,420,0,30/06/2013
RTG,420,9.967033,30/06/2013
RX1,420,10.428571,30/06/2013
RXM,420,0,30/06/2013
RY8,420,0,30/06/2013
RCX,420,2.945055,30/06/2013
RGM,420,0,30/06/2013
RGN,420,0,30/06/2013
RGP,420,0.054945,30/06/2013
RGQ,420,0.879121,30/06/2013
RGR,420,0,30/06/2013
RGT,420,2.307692,30/06/2013
RM1,420,3.538462,30/06/2013
RMY,420,0,30/06/2013
RQQ,420,0,30/06/2013
RT1,420,0,30/06/2013
RY3,420,0,30/06/2013
RYV,420,0,30/06/2013
RAJ,420,0,30/06/2013
RDD,420,0,30/06/2013
RDE,420,0.428571,30/06/2013
RQ8,420,0,30/06/2013
RQW,420,0.505495,30/06/2013
RRD,420,0,30/06/2013
RWN,420,0,30/06/2013
RC1,420,0,30/06/2013
RC9,420,1.604396,30/06/2013
RD8,420,0.131868,30/06/2013
RNQ,420,2.131868,30/06/2013
RNS,420,0,30/06/2013
RP1,420,0,30/06/2013
RWG,420,1.664835,30/06/2013
RWH,420,9.417582,30/06/2013
RWR,420,0,30/06/2013
RY4,420,0,30/06/2013
RP7,420,0,30/06/2013
RT5,420,0,30/06/2013
RWD,420,0.120879,30/06/2013
RWE,420,4.142857,30/06/2013
RY5,420,0,30/06/2013
R1E,420,0,30/06/2013
RJD,420,0,30/06/2013
RJE,420,3.153846,30/06/2013
RJF,420,0,30/06/2013
RL1,420,0,30/06/2013
RLY,420,0,30/06/2013
RRE,420,0,30/06/2013
RXW,420,0,30/06/2013
R1J,420,0,30/06/2013
RBB,420,0,30/06/2013
RD1,420,0.010989,30/06/2013
RN3,420,3.67033,30/06/2013
RNZ,420,0,30/06/2013
RTE,420,0.241758,30/06/2013
RTQ,420,0,30/06/2013
RVN,420,0,30/06/2013
RA3,420,0.956044,30/06/2013
RA4,420,0.076923,30/06/2013
RA7,420,5.846154,30/06/2013
RBA,420,0,30/06/2013
RH5,420,0,30/06/2013
RVJ,420,0,30/06/2013
RA9,420,0,30/06/2013
RBZ,420,0,30/06/2013
REF,420,0,30/06/2013
RH8,420,3.538462,30/06/2013
RJ8,420,0,30/06/2013
RK9,420,0.648352,30/06/2013
RWV,420,0,30/06/2013
RN7,420,0,30/06/2013
RPA,420,0,30/06/2013
RPG,420,0,30/06/2013
RVV,420,0.010989,30/06/2013
RWF,420,0.450549,30/06/2013
RXY,420,0,30/06/2013
RA2,420,0.010989,30/06/2013
RDR,420,0,30/06/2013
RDU,420,0,30/06/2013
RPC,420,0,30/06/2013
RTK,420,0.153846,30/06/2013
RTP,420,0,30/06/2013
RX2,420,0,30/06/2013
RXC,420,0.098901,30/06/2013
RXH,420,4.087912,30/06/2013
RXX,420,0,30/06/2013
RYR,420,0,30/06/2013
RD7,420,0.164835,30/06/2013
RHW,420,0.956044,30/06/2013
RNU,420,0,30/06/2013
RTH,420,2.054945,30/06/2013
RWX,420,0,30/06/2013
RXQ,420,0,30/06/2013
R1C,420,0,30/06/2013
R1F,420,0,30/06/2013
RBD,420,0,30/06/2013
RD3,420,0.923077,30/06/2013
RDY,420,0,30/06/2013
RDZ,420,0,30/06/2013
RHM,420,6.021978,30/06/2013
RHU,420,0.263736,30/06/2013
RN5,420,9.450549,30/06/2013
RW1,420,0,30/06/2013
R1H,420,8.142857,30/06/2013
RAL,420,1.307692,30/06/2013
RAN,420,0,30/06/2013
RAP,420,0,30/06/2013
RAS,420,0.43956,30/06/2013
RAT,420,0,30/06/2013
RAX,420,0,30/06/2013
RC3,420,0.879121,30/06/2013
RF4,420,2.692308,30/06/2013
RFW,420,1.307692,30/06/2013
RJ1,420,4.43956,30/06/2013
RJ2,420,0.846154,30/06/2013
RJ6,420,0.736264,30/06/2013
RJ7,420,2.879121,30/06/2013
RJZ,420,3.989011,30/06/2013
RKE,420,3.186813,30/06/2013
RKL,420,0,30/06/2013
RP4,420,0.021956,30/06/2013
RP6,420,0,30/06/2013
RPY,420,7.461538,30/06/2013
RQM,420,4.450549,30/06/2013
RQX,420,0,30/06/2013
RQY,420,0,30/06/2013
RRP,420,0,30/06/2013
RRV,420,5.967033,30/06/2013
RT3,420,0,30/06/2013
RV3,420,0,30/06/2013
RCF,361,0,30/06/2013
RGD,361,0,30/06/2013
RR8,361,0.406593,30/06/2013
RWY,361,0.197802,30/06/2013
RXF,361,0,30/06/2013
RXG,361,0,30/06/2013
RY6,361,0,30/06/2013
TAD,361,0,30/06/2013
R1A,361,0,30/06/2013
RJC,361,0,30/06/2013
RKB,361,1.351648,30/06/2013
RLQ,361,0,30/06/2013
RLT,361,0,30/06/2013
RWP,361,0,30/06/2013
RYG,361,0,30/06/2013
RBK,361,0,30/06/2013
RL4,361,0,30/06/2013
RLU,361,0,30/06/2013
RNA,361,0,30/06/2013
RQ3,361,0.252747,30/06/2013
RR1,361,0,30/06/2013
RRJ,361,0,30/06/2013
RRK,361,34.164835,30/06/2013
RXK,361,0.78022,30/06/2013
RXT,361,0,30/06/2013
RYK,361,0,30/06/2013
RYW,361,0,30/06/2013
TAJ,361,0,30/06/2013
RFS,361,0,30/06/2013
RHA,361,0,30/06/2013
RK5,361,0,30/06/2013
RTG,361,0,30/06/2013
RX1,361,0,30/06/2013
RXM,361,0,30/06/2013
RY8,361,0,30/06/2013
RCX,361,0,30/06/2013
RGM,361,0,30/06/2013
RGN,361,0,30/06/2013
RGP,361,0,30/06/2013
RGQ,361,0.076923,30/06/2013
RGR,361,0,30/06/2013
RGT,361,53.835165,30/06/2013
RM1,361,0.813187,30/06/2013
RMY,361,0,30/06/2013
RQQ,361,0,30/06/2013
RT1,361,0,30/06/2013
RY3,361,0,30/06/2013
RYV,361,0,30/06/2013
RAJ,361,0,30/06/2013
RDD,361,0,30/06/2013
RDE,361,0.032967,30/06/2013
RQ8,361,0.131868,30/06/2013
RQW,361,0,30/06/2013
RRD,361,0,30/06/2013
RWN,361,0,30/06/2013
RC1,361,0,30/06/2013
RC9,361,0,30/06/2013
RD8,361,0,30/06/2013
RNQ,361,0.087912,30/06/2013
RNS,361,5.010989,30/06/2013
RP1,361,0,30/06/2013
RWG,361,0.010989,30/06/2013
RWH,361,0.505495,30/06/2013
RWR,361,0,30/06/2013
RY4,361,0,30/06/2013
RP7,361,0,30/06/2013
RT5,361,0,30/06/2013
RWD,361,0,30/06/2013
RWE,361,1.637363,30/06/2013
RY5,361,0,30/06/2013
R1E,361,0,30/06/2013
RJD,361,0,30/06/2013
RJE,361,0.351648,30/06/2013
RJF,361,0,30/06/2013
RL1,361,0,30/06/2013
RLY,361,0,30/06/2013
RRE,361,0,30/06/2013
RXW,361,0,30/06/2013
R1J,361,0,30/06/2013
RBB,361,0,30/06/2013
RD1,361,0,30/06/2013
RN3,361,0,30/06/2013
RNZ,361,0,30/06/2013
RTE,361,0.032967,30/06/2013
RTQ,361,0,30/06/2013
RVN,361,0,30/06/2013
RA3,361,0,30/06/2013
RA4,361,0,30/06/2013
RA7,361,1.824176,30/06/2013
RBA,361,0,30/06/2013
RH5,361,0,30/06/2013
RVJ,361,0.494505,30/06/2013
RA9,361,0,30/06/2013
RBZ,361,0,30/06/2013
REF,361,9.263736,30/06/2013
RH8,361,17.505495,30/06/2013
RJ8,361,0,30/06/2013
RK9,361,0,30/06/2013
RWV,361,0,30/06/2013
RN7,361,0.054945,30/06/2013
RPA,361,0,30/06/2013
RPG,361,0,30/06/2013
RVV,361,0.010989,30/06/2013
RWF,361,0,30/06/2013
RXY,361,0,30/06/2013
RA2,361,0,30/06/2013
RDR,361,0,30/06/2013
RDU,361,0,30/06/2013
RPC,361,0,30/06/2013
RTK,361,0,30/06/2013
RTP,361,0,30/06/2013
RX2,361,0,30/06/2013
RXC,361,0,30/06/2013
RXH,361,0.362637,30/06/2013
RXX,361,0,30/06/2013
RYR,361,0,30/06/2013
RD7,361,0,30/06/2013
RHW,361,1.197802,30/06/2013
RNU,361,0,30/06/2013
RTH,361,0.010989,30/06/2013
RWX,361,0,30/06/2013
RXQ,361,0,30/06/2013
R1C,361,0,30/06/2013
R1F,361,0,30/06/2013
RBD,361,0.395604,30/06/2013
RD3,361,0,30/06/2013
RDY,361,0,30/06/2013
RDZ,361,0.175824,30/06/2013
RHM,361,1.318681,30/06/2013
RHU,361,4.901099,30/06/2013
RN5,361,0,30/06/2013
RW1,361,0,30/06/2013
R1H,361,1.912088,30/06/2013
RAL,361,3.252747,30/06/2013
RAN,361,0,30/06/2013
RAP,361,0,30/06/2013
RAS,361,0.208791,30/06/2013
RAT,361,0,30/06/2013
RAX,361,0,30/06/2013
RC3,361,0,30/06/2013
RF4,361,0,30/06/2013
RFW,361,0,30/06/2013
RJ1,361,4.164835,30/06/2013
RJ2,361,0,30/06/2013
RJ6,361,0,30/06/2013
RJ7,361,36.692308,30/06/2013
RJZ,361,0.912088,30/06/2013
RKE,361,0,30/06/2013
RKL,361,0,30/06/2013
RP4,361,0,30/06/2013
RP6,361,0,30/06/2013
RPY,361,0,30/06/2013
RQM,361,0.065934,30/06/2013
RQX,361,0,30/06/2013
RQY,361,0,30/06/2013
RRP,361,0,30/06/2013
RRV,361,0,30/06/2013
RT3,361,0,30/06/2013
RV3,361,0,30/06/2013
RV5,361,0,30/06/2013
RV8,361,0,30/06/2013
RVL,361,0,30/06/2013
RVR,361,6.714286,30/06/2013
RWK,361,0,30/06/2013
RYJ,361,9.351648,30/06/2013
RYQ,361,0,30/06/2013
RYX,361,0,30/06/2013
TAF,361,0,30/06/2013
RBL,370,0,30/06/2013
RBT,370,0,30/06/2013
REN,370,0,30/06/2013
RJN,370,0,30/06/2013
RJR,370,0,30/06/2013
RTV,370,0,30/06/2013
RWW,370,0,30/06/2013
RXA,370,0,30/06/2013
RTR,370,15.725275,30/06/2013
RVW,370,0,30/06/2013
RX3,370,0,30/06/2013
RXP,370,2.637363,30/06/2013
RBV,370,1.791209,30/06/2013
RM2,370,0,30/06/2013
RM3,370,0,30/06/2013
RMC,370,0,30/06/2013
RMP,370,0,30/06/2013
RRF,370,4.989011,30/06/2013
RT2,370,0,30/06/2013
RW3,370,1.835165,30/06/2013
RW6,370,0.10989,30/06/2013
RWJ,370,0,30/06/2013
RXV,370,0,30/06/2013
TAE,370,0,30/06/2013
RJX,370,0,30/06/2013
RW5,370,0,30/06/2013
RXL,370,6.813187,30/06/2013
RXN,370,0.065934,30/06/2013
RXR,370,0.43956,30/06/2013
RBN,370,0,30/06/2013
RBQ,370,0,30/06/2013
RBS,370,0,30/06/2013
REM,370,0,30/06/2013
REP,370,0,30/06/2013
RET,370,0,30/06/2013
RQ6,370,0,30/06/2013
RVY,370,0,30/06/2013
RW4,370,0,30/06/2013
RE9,370,8.142857,30/06/2013
RLN,370,0,30/06/2013
RNL,370,0,30/06/2013
RNN,370,0,30/06/2013
RR7,370,1.736264,30/06/2013
RTD,370,17.153846,30/06/2013
RTF,370,0,30/06/2013
RTX,370,11.802198,30/06/2013
RX4,370,0,30/06/2013
RCB,370,7.472527,30/06/2013
RCD,370,0,30/06/2013
RJL,370,0,30/06/2013
RV9,370,0,30/06/2013
RWA,370,2.208791,30/06/2013
RCU,370,0.263736,30/06/2013
RFF,370,0,30/06/2013
RFR,370,0,30/06/2013
RHQ,370,17.395604,30/06/2013
RP5,370,0,30/06/2013
RXE,370,0,30/06/2013
TAH,370,0,30/06/2013
RAE,370,7.945055,30/06/2013
RCF,370,6.846154,30/06/2013
RGD,370,0,30/06/2013
RR8,370,28.582418,30/06/2013
RWY,370,7.065934,30/06/2013
RXF,370,11.593407,30/06/2013
RXG,370,0,30/06/2013
RY6,370,0,30/06/2013
TAD,370,0,30/06/2013
R1A,370,0,30/06/2013
RJC,370,0,30/06/2013
RKB,370,0,30/06/2013
RLQ,370,0,30/06/2013
RLT,370,0.098901,30/06/2013
RWP,370,0.032967,30/06/2013
RYG,370,0,30/06/2013
RBK,370,0,30/06/2013
RL4,370,8.505495,30/06/2013
RLU,370,0,30/06/2013
RNA,370,3.692308,30/06/2013
RQ3,370,2.021978,30/06/2013
RR1,370,0,30/06/2013
RRJ,370,0,30/06/2013
RRK,370,3.472527,30/06/2013
RXK,370,8.703297,30/06/2013
RXT,370,0,30/06/2013
RYK,370,0,30/06/2013
RYW,370,0,30/06/2013
TAJ,370,0,30/06/2013
RFS,370,0,30/06/2013
RHA,370,0,30/06/2013
RK5,370,0,30/06/2013
RTG,370,0,30/06/2013
RX1,370,0,30/06/2013
RXM,370,0,30/06/2013
RY8,370,0,30/06/2013
RCX,370,4.021978,30/06/2013
RGM,370,0,30/06/2013
RGN,370,6.989011,30/06/2013
RGP,370,0,30/06/2013
RGQ,370,0,30/06/2013
RGR,370,0,30/06/2013
RGT,370,11.483516,30/06/2013
RM1,370,0,30/06/2013
RMY,370,0,30/06/2013
RQQ,370,0.912088,30/06/2013
RT1,370,0,30/06/2013
RY3,370,0,30/06/2013
RYV,370,0,30/06/2013
RAJ,370,0,30/06/2013
RDD,370,0,30/06/2013
RDE,370,0,30/06/2013
RQ8,370,0.263736,30/06/2013
RQW,370,0.076923,30/06/2013
RRD,370,0,30/06/2013
RWN,370,0,30/06/2013
RC1,370,0,30/06/2013
RC9,370,4.637363,30/06/2013
RD8,370,3.010989,30/06/2013
RNQ,370,3.21978,30/06/2013
RNS,370,0,30/06/2013
RP1,370,0,30/06/2013
RWG,370,0.104396,30/06/2013
RWH,370,0.593407,30/06/2013
RWR,370,0,30/06/2013
RY4,370,0,30/06/2013
RP7,370,0,30/06/2013
RT5,370,0,30/06/2013
RWD,370,4.714286,30/06/2013
RWE,370,0,30/06/2013
RY5,370,0,30/06/2013
R1E,370,0,30/06/2013
RJD,370,0,30/06/2013
RJE,370,0,30/06/2013
RJF,370,11.252747,30/06/2013
RL1,370,0,30/06/2013
RLY,370,0,30/06/2013
RRE,370,0,30/06/2013
RXW,370,0,30/06/2013
R1J,370,0,30/06/2013
RBB,370,0,30/06/2013
RD1,370,0.472527,30/06/2013
RN3,370,6.43956,30/06/2013
RNZ,370,0.098901,30/06/2013
RTE,370,0.065934,30/06/2013
RTQ,370,0,30/06/2013
RVN,370,0,30/06/2013
RA3,370,3.043956,30/06/2013
RA4,370,6.362637,30/06/2013
RA7,370,16.56044,30/06/2013
RBA,370,0.241758,30/06/2013
RH5,370,0,30/06/2013
RVJ,370,0,30/06/2013
RA9,370,0,30/06/2013
RBZ,370,0,30/06/2013
REF,370,0,30/06/2013
RH8,370,2.824176,30/06/2013
RJ8,370,0,30/06/2013
RK9,370,0.318681,30/06/2013
RWV,370,0,30/06/2013
RN7,370,7,30/06/2013
RPA,370,0,30/06/2013
RPG,370,0,30/06/2013
RVV,370,0,30/06/2013
RWF,370,0.010989,30/06/2013
RXY,370,0,30/06/2013
RA2,370,3.010989,30/06/2013
RDR,370,0,30/06/2013
RDU,370,0,30/06/2013
RPC,370,0,30/06/2013
RTK,370,0,30/06/2013
RTP,370,0,30/06/2013
RX2,370,0,30/06/2013
RXC,370,0,30/06/2013
RXH,370,0.065934,30/06/2013
RXX,370,0,30/06/2013
RYR,370,4.78022,30/06/2013
RD7,370,1,30/06/2013
RHW,370,0.032967,30/06/2013
RNU,370,0,30/06/2013
RTH,370,0,30/06/2013
RWX,370,0,30/06/2013
RXQ,370,0,30/06/2013
R1C,370,0,30/06/2013
R1F,370,0,30/06/2013
RBD,370,0.120879,30/06/2013
RD3,370,4.494505,30/06/2013
RDY,370,0,30/06/2013
RDZ,370,9.384615,30/06/2013
RHM,370,4.065934,30/06/2013
RHU,370,7.791209,30/06/2013
RN5,370,12.615385,30/06/2013
RW1,370,0,30/06/2013
R1H,370,6.835165,30/06/2013
RAL,370,0.065934,30/06/2013
RAN,370,0,30/06/2013
RAP,370,0,30/06/2013
RAS,370,0,30/06/2013
RAT,370,0,30/06/2013
RAX,370,0,30/06/2013
RC3,370,0,30/06/2013
RF4,370,0.175824,30/06/2013
RFW,370,2.241758,30/06/2013
RJ1,370,2.494505,30/06/2013
RJ2,370,2.659341,30/06/2013
RJ6,370,0,30/06/2013
RJ7,370,8.483516,30/06/2013
RJZ,370,0.120879,30/06/2013
RKE,370,2.307692,30/06/2013
RKL,370,0,30/06/2013
RP4,370,8.930374,30/06/2013
RP6,370,0,30/06/2013
RPY,370,59.395604,30/06/2013
RQM,370,0.538462,30/06/2013
RQX,370,0,30/06/2013
RQY,370,0,30/06/2013
RRP,370,0,30/06/2013
RRV,370,26.956044,30/06/2013
RT3,370,0,30/06/2013
RV3,370,0,30/06/2013
RV5,370,0,30/06/2013
RV8,370,6.725275,30/06/2013
RVL,370,2.406593,30/06/2013
RVR,370,0,30/06/2013
RWK,370,0,30/06/2013
RYJ,370,33.527473,30/06/2013
RYQ,370,6.879121,30/06/2013
RYX,370,0,30/06/2013
TAF,370,0,30/06/2013
RBL,371,0,30/06/2013
RBT,371,0,30/06/2013
REN,371,0,30/06/2013
RJN,371,0,30/06/2013
RJR,371,0,30/06/2013
RTV,371,0,30/06/2013
RWW,371,0,30/06/2013
RXA,371,0,30/06/2013
RTR,371,0,30/06/2013
RVW,371,0,30/06/2013
RX3,371,0,30/06/2013
RXP,371,0,30/06/2013
RBV,371,0,30/06/2013
RM2,371,0,30/06/2013
RM3,371,0,30/06/2013
RMC,371,0,30/06/2013
RMP,371,0,30/06/2013
RRF,371,0,30/06/2013
RT2,371,0,30/06/2013
RW3,371,0,30/06/2013
RW6,371,0,30/06/2013
RWJ,371,0,30/06/2013
RXV,371,0,30/06/2013
TAE,371,0,30/06/2013
RJX,371,0,30/06/2013
RW5,371,0,30/06/2013
RXL,371,0,30/06/2013
RXN,371,0,30/06/2013
RXR,371,0,30/06/2013
RBN,371,0,30/06/2013
RBQ,371,0,30/06/2013
RBS,371,0,30/06/2013
REM,371,0,30/06/2013
REP,371,0,30/06/2013
RET,371,0,30/06/2013
RQ6,371,0,30/06/2013
RVY,371,0,30/06/2013
RW4,371,0,30/06/2013
RE9,371,0,30/06/2013
RLN,371,0,30/06/2013
RNL,371,0,30/06/2013
RNN,371,0,30/06/2013
RR7,371,0,30/06/2013
RTD,371,0,30/06/2013
RTF,371,0,30/06/2013
RTX,371,0,30/06/2013
RX4,371,0,30/06/2013
RCB,371,0,30/06/2013
RCD,371,0,30/06/2013
RJL,371,0,30/06/2013
RV9,371,0,30/06/2013
RWA,371,0,30/06/2013
RCU,371,0,30/06/2013
RFF,371,0,30/06/2013
RFR,371,0,30/06/2013
RHQ,371,0,30/06/2013
RP5,371,0,30/06/2013
RXE,371,0,30/06/2013
TAH,371,0,30/06/2013
RAE,371,0,30/06/2013
RCF,371,0,30/06/2013
RGD,371,0,30/06/2013
RR8,371,0,30/06/2013
RWY,371,0,30/06/2013
RXF,371,0,30/06/2013
RXG,371,0,30/06/2013
RY6,371,0,30/06/2013
TAD,371,0,30/06/2013
R1A,371,0,30/06/2013
RJC,371,0,30/06/2013
RKB,371,0,30/06/2013
RLQ,371,0,30/06/2013
RLT,371,0,30/06/2013
RWP,371,0,30/06/2013
RYG,371,0,30/06/2013
RBK,371,0,30/06/2013
RL4,371,0,30/06/2013
RLU,371,0,30/06/2013
RNA,371,0,30/06/2013
RQ3,371,0,30/06/2013
RR1,371,0,30/06/2013
RRJ,371,0,30/06/2013
RRK,371,0,30/06/2013
RXK,371,0,30/06/2013
RXT,371,0,30/06/2013
RYK,371,0,30/06/2013
RYW,371,0,30/06/2013
RKL,711,0,30/06/2013
RP4,711,0,30/06/2013
RP6,711,0,30/06/2013
RPY,711,0,30/06/2013
RQM,711,0,30/06/2013
RQX,711,0,30/06/2013
RQY,711,0,30/06/2013
RRP,711,0,30/06/2013
RRV,711,0,30/06/2013
RT3,711,0,30/06/2013
RV3,711,0,30/06/2013
RV5,711,0,30/06/2013
RV8,711,0,30/06/2013
RVL,711,0,30/06/2013
RVR,711,0,30/06/2013
RWK,711,0,30/06/2013
RYJ,711,0,30/06/2013
RYQ,711,0,30/06/2013
RYX,711,0,30/06/2013
TAF,711,0,30/06/2013
RBL,712,0,30/06/2013
RBT,712,0,30/06/2013
REN,712,0,30/06/2013
RJN,712,0,30/06/2013
RJR,712,0,30/06/2013
RTV,712,0,30/06/2013
RWW,712,0,30/06/2013
RXA,712,0,30/06/2013
RTR,712,0,30/06/2013
RVW,712,0,30/06/2013
RX3,712,0,30/06/2013
RXP,712,0,30/06/2013
RBV,712,0,30/06/2013
RM2,712,0,30/06/2013
RM3,712,0,30/06/2013
RMC,712,0,30/06/2013
RMP,712,0,30/06/2013
RRF,712,0,30/06/2013
RT2,712,0,30/06/2013
RW3,712,0,30/06/2013
RW6,712,0,30/06/2013
RWJ,712,0,30/06/2013
RXV,712,0,30/06/2013
TAE,712,0,30/06/2013
RJX,712,0,30/06/2013
RW5,712,0,30/06/2013
RXL,712,0,30/06/2013
RXN,712,0,30/06/2013
RXR,712,0,30/06/2013
RBN,712,0,30/06/2013
RBQ,712,0,30/06/2013
RRE,451,0,30/06/2013
RXW,451,0,30/06/2013
R1J,451,0,30/06/2013
RBB,451,0,30/06/2013
RD1,451,0,30/06/2013
RN3,451,0,30/06/2013
RNZ,451,0,30/06/2013
RTE,451,0,30/06/2013
RTQ,451,0,30/06/2013
RVN,451,0,30/06/2013
RA3,451,0,30/06/2013
RA4,451,0,30/06/2013
RA7,451,0,30/06/2013
RBA,451,0,30/06/2013
RH5,451,0,30/06/2013
RVJ,451,0,30/06/2013
RA9,451,0,30/06/2013
RBZ,451,0,30/06/2013
REF,451,0,30/06/2013
RH8,451,0,30/06/2013
RJ8,451,0,30/06/2013
RK9,451,0,30/06/2013
RWV,451,0,30/06/2013
RN7,451,0,30/06/2013
RPA,451,0,30/06/2013
RPG,451,0,30/06/2013
RVV,451,0,30/06/2013
RWF,451,0,30/06/2013
RXY,451,0,30/06/2013
RA2,451,0,30/06/2013
RDR,451,0,30/06/2013
RDU,451,0,30/06/2013
RPC,451,0,30/06/2013
RTK,451,0,30/06/2013
RTP,451,0,30/06/2013
RX2,451,0,30/06/2013
RXC,451,0,30/06/2013
RXH,451,0,30/06/2013
RXX,451,0,30/06/2013
RYR,451,0,30/06/2013
RD7,451,0,30/06/2013
RHW,451,0,30/06/2013
RNU,451,0,30/06/2013
RTH,451,0,30/06/2013
RWX,451,0,30/06/2013
RXQ,451,0,30/06/2013
R1C,451,0,30/06/2013
R1F,451,0,30/06/2013
RBD,451,0,30/06/2013
RD3,451,0,30/06/2013
RDY,451,0,30/06/2013
RDZ,451,0,30/06/2013
RHM,451,0,30/06/2013
RHU,451,0,30/06/2013
RN5,451,0,30/06/2013
RW1,451,0,30/06/2013
R1H,451,0,30/06/2013
RAL,451,0,30/06/2013
RAN,451,0,30/06/2013
RAP,451,0,30/06/2013
RAS,451,0,30/06/2013
RAT,451,0,30/06/2013
RAX,451,0,30/06/2013
RC3,451,0,30/06/2013
RF4,451,0,30/06/2013
RFW,451,0,30/06/2013
RJ1,451,0,30/06/2013
RJ2,451,0,30/06/2013
RJ6,451,0,30/06/2013
RJ7,451,0,30/06/2013
RJZ,451,0,30/06/2013
RKE,451,0,30/06/2013
RKL,451,0,30/06/2013
RP4,451,0,30/06/2013
RP6,451,0,30/06/2013
RPY,451,0,30/06/2013
RQM,451,0,30/06/2013
RQX,451,0,30/06/2013
RQY,451,0,30/06/2013
RRP,451,0,30/06/2013
